Amar Impex
Anthea Aromatic Pvt. Ltd
Apcotex Industries Limited
Apra Enterprises
Ardee Technologies Pvt. Ltd ( Unit - 4)
Ashu Organics (I) Pvt. Ltd
Ashu Organics (I) Pvt. Ltd
Ashu Organics (I) Pvt. Ltd
Asian Paints Limited
Aurochem Laboratories (I) Pvt.Ltd
Bahri
Bio-Med Healthcare Pro.Ltd
Cariesco Exports
CTX Life Sciences Pvt. Ltd
DBS Chemicals
DRT- Anthea Aroma Chemicals Pvt. Ltd
Duflon Industries Pvt. Ltd
Duflon Industries Pvt. Ltd (Unit II)
Exim Corporation
Futura Travels Ltd
Galentic Pharma India Pvt. Ltd
Gharda Chemicals Limited
Godrej Industries Limited
Grafica Flextronica
Gujarat Organics Ltd
Gujarat Organics Ltd
Gujarat Organics Ltd.
Harmony Lifescience Pvt Ltd
Holden Medical Laboratories Pvt. Ltd
Holden Medical Pvt.Ltd
Indokem Limited
Intas Pharmaceuticals Ltd
IPCA Laboratories Ltd
Ishaan Bio Private Ltd
Jayant Printery LLP
Kamsons Chemicals Pvt. Ltd
Kores (India) Limited
Lucid Colloids Ltd.
Lupin Limited
Lupin Limited
Maryus Healthcare Pvt. Ltd.
Metal Sales Corporation
Nivedita Chemicals Pvt. Ltd
OC Specialities Pvt. Ltd.
Prasol Chemicals Pvt. Ltd
Printline Reproductions Pvt Ltd
Rena Exports
Renuka Chemicals
Roha Dyechem Pvt. Ltd
Rupa Organics Pvt Ltd.
S Kant Healthcare Ltd
Sam Fine O Chem Limited
Scottich Chemical Industries
Shreya Aniline Industries Pvt. Ltd
Shriji Polymers ( India ) Ltd
Sirmaxo Chemicals Pvt. Ltd
Sun Pharmaceutical Industrial Ltd
Swani Spice Mill Pvt. Ltd
Titan Laboratories Pvt Ltd
Titan Laboratories Pvt. Ltd
Torrent Pharmaceutical Ltd
Tricon Enterprises Pvt Ltd
Unimax Chemicals Pvt. Ltd
Victory Chemicals
Vivil Exports Pvt Ltd
Wockhardt Limited
Wockhardt Ltd
Wockhardt LTd (100%EOU MPP)
